_id,keyword,prov,date,city,city_index
ObjectId("5dfe04994ebbe6630a209943"),iphone,901,2019-01-01|2019-06-30,77,1000
ObjectId("5dfe04994ebbe6630a209944"),iphone,901,2019-01-01|2019-06-30,1,866
ObjectId("5dfe04994ebbe6630a209945"),iphone,901,2019-01-01|2019-06-30,79,331
ObjectId("5dfe04994ebbe6630a209946"),iphone,901,2019-01-01|2019-06-30,80,228
ObjectId("5dfe04994ebbe6630a209947"),iphone,901,2019-01-01|2019-06-30,78,147
ObjectId("5dfe04994ebbe6630a209948"),iphone,901,2019-01-01|2019-06-30,352,136
ObjectId("5dfe04994ebbe6630a209949"),iphone,901,2019-01-01|2019-06-30,81,115
ObjectId("5dfe04994ebbe6630a20994a"),iphone,901,2019-01-01|2019-06-30,76,112
ObjectId("5dfe04994ebbe6630a20994b"),iphone,901,2019-01-01|2019-06-30,353,99
ObjectId("5dfe04994ebbe6630a20994c"),iphone,901,2019-01-01|2019-06-30,84,92
ObjectId("5dfe04994ebbe6630a20994d"),iphone,901,2019-01-01|2019-06-30,88,76
ObjectId("5dfe04994ebbe6630a20994e"),iphone,901,2019-01-01|2019-06-30,83,75
ObjectId("5dfe04994ebbe6630a20994f"),iphone,901,2019-01-01|2019-06-30,85,69
ObjectId("5dfe04994ebbe6630a209950"),iphone,901,2019-01-01|2019-06-30,86,63
ObjectId("5dfe04994ebbe6630a209951"),iphone,901,2019-01-01|2019-06-30,82,59
ObjectId("5dfe04994ebbe6630a209952"),iphone,902,2019-01-01|2019-06-30,2,1000
ObjectId("5dfe04994ebbe6630a209953"),iphone,902,2019-01-01|2019-06-30,59,360
ObjectId("5dfe04994ebbe6630a209954"),iphone,902,2019-01-01|2019-06-30,426,157
ObjectId("5dfe04994ebbe6630a209955"),iphone,902,2019-01-01|2019-06-30,61,142
ObjectId("5dfe04994ebbe6630a209956"),iphone,902,2019-01-01|2019-06-30,3,87
ObjectId("5dfe04994ebbe6630a209957"),iphone,902,2019-01-01|2019-06-30,422,64
ObjectId("5dfe04994ebbe6630a209958"),iphone,902,2019-01-01|2019-06-30,588,56
ObjectId("5dfe04994ebbe6630a209959"),iphone,902,2019-01-01|2019-06-30,4,55
ObjectId("5dfe04994ebbe6630a20995a"),iphone,902,2019-01-01|2019-06-30,424,54
ObjectId("5dfe049a4ebbe6630a20995b"),iphone,903,2019-01-01|2019-06-30,5,1000
ObjectId("5dfe049a4ebbe6630a20995c"),iphone,903,2019-01-01|2019-06-30,10,285
ObjectId("5dfe049a4ebbe6630a20995d"),iphone,903,2019-01-01|2019-06-30,9,239
ObjectId("5dfe049a4ebbe6630a20995e"),iphone,903,2019-01-01|2019-06-30,6,194
ObjectId("5dfe049a4ebbe6630a20995f"),iphone,903,2019-01-01|2019-06-30,256,161
