_id,keyword,level1,level2,level3,level4,level5,male,female,date
ObjectId("5dfdb491015a4e41b771cf3c"),iphone,5,18,54,20,3,66,34,201806|201807
ObjectId("5dfdb492015a4e41b771cf3d"),iphone,4,18,55,20,3,65,35,201807|201808
ObjectId("5dfdb492015a4e41b771cf3e"),iphone,5,20,54,18,3,68,32,201808|201809
ObjectId("5dfdb492015a4e41b771cf3f"),iphone,4,20,54,19,3,66,34,201809|201810
ObjectId("5dfdb492015a4e41b771cf40"),iphone,4,19,54,20,3,64,36,201810|201811
ObjectId("5dfdb492015a4e41b771cf41"),iphone,6,22,51,18,3,67,33,201811|201812
ObjectId("5dfdb492015a4e41b771cf42"),iphone,5,20,53,19,3,65,35,201812|201901
ObjectId("5dfdb492015a4e41b771cf43"),iphone,4,17,55,21,3,63,37,201901|201902
ObjectId("5dfdb492015a4e41b771cf44"),iphone,4,17,55,20,4,64,36,201902|201903
ObjectId("5dfdb493015a4e41b771cf45"),iphone,4,17,55,20,4,64,36,201903|201904
ObjectId("5dfdb493015a4e41b771cf46"),iphone,4,16,55,21,4,62,38,201904|201905
ObjectId("5dfdb493015a4e41b771cf47"),iphone,4,15,55,22,4,62,38,201905|201906
ObjectId("5dfdb493015a4e41b771cf48"),iphone,4,15,55,22,4,62,38,201906|201907
ObjectId("5dfdb493015a4e41b771cf49"),iphone,4,15,56,21,4,63,37,201907|201908
ObjectId("5dfdb493015a4e41b771cf4a"),iphone,5,19,54,19,3,65,35,201908|201909
ObjectId("5dfdb493015a4e41b771cf4b"),iphone,5,20,54,17,4,65,35,201909|201910
ObjectId("5dfdb493015a4e41b771cf4c"),iphone,4,17,55,20,4,63,37,201910|201911
ObjectId("5dfdb494015a4e41b771cf4d"),iphone,4,16,55,20,5,63,37,201911|201912
ObjectId("5dfdb494015a4e41b771cf4e"),华为,4,15,53,25,3,73,27,201806|201807
ObjectId("5dfdb494015a4e41b771cf4f"),华为,4,15,53,25,3,74,26,201807|201808
ObjectId("5dfdb494015a4e41b771cf50"),华为,4,17,53,23,3,74,26,201808|201809
ObjectId("5dfdb494015a4e41b771cf51"),华为,4,18,53,22,3,77,23,201809|201810
ObjectId("5dfdb494015a4e41b771cf52"),华为,4,18,54,21,3,77,23,201810|201811
ObjectId("5dfdb494015a4e41b771cf53"),华为,4,18,55,20,3,74,26,201811|201812
ObjectId("5dfdb494015a4e41b771cf54"),华为,4,18,55,20,3,73,27,201812|201901
ObjectId("5dfdb495015a4e41b771cf55"),华为,4,17,54,22,3,75,25,201901|201902
ObjectId("5dfdb495015a4e41b771cf56"),华为,4,17,53,22,4,76,24,201902|201903
ObjectId("5dfdb495015a4e41b771cf57"),华为,4,16,53,23,4,74,26,201903|201904
ObjectId("5dfdb495015a4e41b771cf58"),华为,3,13,55,25,4,73,27,201904|201905
ObjectId("5dfdb495015a4e41b771cf59"),华为,3,13,54,25,5,72,28,201905|201906
ObjectId("5dfdb495015a4e41b771cf5a"),华为,3,14,53,25,5,72,28,201906|201907
ObjectId("5dfdb495015a4e41b771cf5b"),华为,4,16,54,22,4,74,26,201907|201908
ObjectId("5dfdb495015a4e41b771cf5c"),华为,4,19,55,19,3,77,23,201908|201909
ObjectId("5dfdb496015a4e41b771cf5d"),华为,4,20,55,18,3,77,23,201909|201910
ObjectId("5dfdb496015a4e41b771cf5e"),华为,4,18,54,20,4,76,24,201910|201911
ObjectId("5dfdb496015a4e41b771cf5f"),华为,4,18,55,19,4,78,22,201911|201912
ObjectId("5dfdb496015a4e41b771cf60"),小米手机,2,11,49,30,8,73,27,201806|201807
ObjectId("5dfdb496015a4e41b771cf61"),小米手机,2,11,50,28,9,73,27,201807|201808
ObjectId("5dfdb496015a4e41b771cf62"),小米手机,3,13,52,26,6,75,25,201808|201809
ObjectId("5dfdb496015a4e41b771cf63"),小米手机,3,13,50,27,7,76,24,201809|201810
ObjectId("5dfdb496015a4e41b771cf64"),小米手机,3,12,48,28,9,75,25,201810|201811
ObjectId("5dfdb497015a4e41b771cf65"),小米手机,2,11,47,30,10,73,27,201811|201812
ObjectId("5dfdb497015a4e41b771cf66"),小米手机,2,10,48,30,10,74,26,201812|201901
ObjectId("5dfdb497015a4e41b771cf67"),小米手机,2,11,48,30,9,75,25,201901|201902
ObjectId("5dfdb497015a4e41b771cf68"),小米手机,2,11,48,30,9,75,25,201902|201903
ObjectId("5dfdb497015a4e41b771cf69"),小米手机,2,10,47,31,10,73,27,201903|201904
ObjectId("5dfdb497015a4e41b771cf6a"),小米手机,2,10,47,30,11,72,28,201904|201905
ObjectId("5dfdb497015a4e41b771cf6b"),小米手机,2,10,47,30,11,73,27,201905|201906
ObjectId("5dfdb498015a4e41b771cf6c"),小米手机,2,9,47,32,10,73,27,201906|201907
ObjectId("5dfdb498015a4e41b771cf6d"),小米手机,2,9,47,31,11,73,27,201907|201908
ObjectId("5dfdb498015a4e41b771cf6e"),小米手机,2,11,47,28,12,77,23,201908|201909
ObjectId("5dfdb498015a4e41b771cf6f"),小米手机,3,12,47,27,11,77,23,201909|201910
ObjectId("5dfdb498015a4e41b771cf70"),小米手机,2,10,46,28,14,75,25,201910|201911
ObjectId("5dfdb498015a4e41b771cf71"),小米手机,2,10,45,30,13,75,25,201911|201912
ObjectId("5dfdb498015a4e41b771cf72"),vivo,4,15,53,25,3,74,26,201806|201807
ObjectId("5dfdb499015a4e41b771cf73"),vivo,3,13,53,28,3,68,32,201807|201808
ObjectId("5dfdb499015a4e41b771cf74"),vivo,4,14,53,26,3,69,31,201808|201809
ObjectId("5dfdb499015a4e41b771cf75"),vivo,3,13,53,27,4,71,29,201809|201810
ObjectId("5dfdb499015a4e41b771cf76"),vivo,3,12,52,28,5,69,31,201810|201811
ObjectId("5dfdb499015a4e41b771cf77"),vivo,2,12,52,28,6,68,32,201811|201812
ObjectId("5dfdb499015a4e41b771cf78"),vivo,3,11,53,28,5,70,30,201812|201901
ObjectId("5dfdb499015a4e41b771cf79"),vivo,3,12,53,28,4,71,29,201901|201902
ObjectId("5dfdb499015a4e41b771cf7a"),vivo,2,12,53,28,5,71,29,201902|201903
ObjectId("5dfdb49a015a4e41b771cf7b"),vivo,2,11,52,30,5,70,30,201903|201904
ObjectId("5dfdb49a015a4e41b771cf7c"),vivo,2,10,53,28,7,67,33,201904|201905
ObjectId("5dfdb49a015a4e41b771cf7d"),vivo,2,10,53,28,7,66,34,201905|201906
ObjectId("5dfdb49a015a4e41b771cf7e"),vivo,2,10,54,28,6,66,34,201906|201907
ObjectId("5dfdb49a015a4e41b771cf7f"),vivo,3,11,54,27,5,67,33,201907|201908
ObjectId("5dfdb49a015a4e41b771cf80"),vivo,2,11,53,28,6,70,30,201908|201909
ObjectId("5dfdb49a015a4e41b771cf81"),vivo,2,11,52,28,7,70,30,201909|201910
ObjectId("5dfdb49a015a4e41b771cf82"),vivo,2,9,53,28,8,67,33,201910|201911
ObjectId("5dfdb49b015a4e41b771cf83"),vivo,2,9,53,28,8,67,33,201911|201912
ObjectId("5dfdb49b015a4e41b771cf84"),oppo,4,17,53,23,3,75,25,201806|201807
ObjectId("5dfdb49b015a4e41b771cf85"),oppo,4,13,53,27,3,67,33,201807|201808
ObjectId("5dfdb49b015a4e41b771cf86"),oppo,4,15,53,24,4,69,31,201808|201809
ObjectId("5dfdb49b015a4e41b771cf87"),oppo,3,14,53,26,4,69,31,201809|201810
ObjectId("5dfdb49b015a4e41b771cf88"),oppo,3,13,53,27,4,67,33,201810|201811
ObjectId("5dfdb49b015a4e41b771cf89"),oppo,3,13,53,26,5,67,33,201811|201812
ObjectId("5dfdb49b015a4e41b771cf8a"),oppo,3,13,54,26,4,67,33,201812|201901
ObjectId("5dfdb49c015a4e41b771cf8b"),oppo,3,13,54,25,5,68,32,201901|201902
ObjectId("5dfdb49c015a4e41b771cf8c"),oppo,3,12,54,26,5,68,32,201902|201903
ObjectId("5dfdb49c015a4e41b771cf8d"),oppo,2,12,54,27,5,67,33,201903|201904
ObjectId("5dfdb49c015a4e41b771cf8e"),oppo,2,8,52,30,8,62,38,201904|201905
ObjectId("5dfdb49c015a4e41b771cf8f"),oppo,1,8,50,32,9,59,41,201905|201906
ObjectId("5dfdb49c015a4e41b771cf90"),oppo,1,7,49,33,10,57,43,201906|201907
ObjectId("5dfdb49c015a4e41b771cf91"),oppo,1,7,49,33,10,57,43,201907|201908
ObjectId("5dfdb49c015a4e41b771cf92"),oppo,1,7,49,33,10,59,41,201908|201909
ObjectId("5dfdb49c015a4e41b771cf93"),oppo,1,8,50,31,10,61,39,201909|201910
ObjectId("5dfdb49d015a4e41b771cf94"),oppo,2,9,51,28,10,64,36,201910|201911
ObjectId("5dfdb49d015a4e41b771cf95"),oppo,2,9,53,28,8,65,35,201911|201912
ObjectId("5dfdb49d015a4e41b771cf96"),三星,5,16,52,24,3,78,22,201806|201807
ObjectId("5dfdb49d015a4e41b771cf97"),三星,5,16,53,23,3,78,22,201807|201808
ObjectId("5dfdb49d015a4e41b771cf98"),三星,6,18,52,21,3,80,20,201808|201809
ObjectId("5dfdb49d015a4e41b771cf99"),三星,6,18,51,22,3,80,20,201809|201810
ObjectId("5dfdb49d015a4e41b771cf9a"),三星,6,17,51,22,4,79,21,201810|201811
ObjectId("5dfdb49e015a4e41b771cf9b"),三星,6,17,52,21,4,79,21,201811|201812
ObjectId("5dfdb49e015a4e41b771cf9c"),三星,6,17,52,22,3,79,21,201812|201901
