_id,keyword,index,date
ObjectId("5dfdaf7cd51a5c8eb6103503"),南昌大学,3231,2019-01-01
ObjectId("5dfdaf7cd51a5c8eb6103504"),南昌大学,3365,2019-01-02
ObjectId("5dfdaf7cd51a5c8eb6103505"),南昌大学,3706,2019-01-03
ObjectId("5dfdaf7cd51a5c8eb6103506"),南昌大学,3888,2019-01-04
ObjectId("5dfdaf7cd51a5c8eb6103507"),南昌大学,3856,2019-01-05
ObjectId("5dfdaf7cd51a5c8eb6103508"),南昌大学,3830,2019-01-06
ObjectId("5dfdaf7cd51a5c8eb6103509"),南昌大学,4020,2019-01-07
ObjectId("5dfdaf7cd51a5c8eb610350a"),南昌大学,4791,2019-01-08
ObjectId("5dfdaf7cd51a5c8eb610350b"),南昌大学,4967,2019-01-09
ObjectId("5dfdaf7cd51a5c8eb610350c"),南昌大学,5083,2019-01-10
ObjectId("5dfdaf7cd51a5c8eb610350d"),南昌大学,4752,2019-01-11
ObjectId("5dfdaf7cd51a5c8eb610350e"),南昌大学,4381,2019-01-12
ObjectId("5dfdaf7cd51a5c8eb610350f"),南昌大学,4134,2019-01-13
ObjectId("5dfdaf7cd51a5c8eb6103510"),南昌大学,4397,2019-01-14
ObjectId("5dfdaf7cd51a5c8eb6103511"),南昌大学,4442,2019-01-15
ObjectId("5dfdaf7cd51a5c8eb6103512"),南昌大学,4343,2019-01-16
ObjectId("5dfdaf7cd51a5c8eb6103513"),南昌大学,4279,2019-01-17
ObjectId("5dfdaf7cd51a5c8eb6103514"),南昌大学,4365,2019-01-18
ObjectId("5dfdaf7cd51a5c8eb6103515"),南昌大学,4258,2019-01-19
ObjectId("5dfdaf7cd51a5c8eb6103516"),南昌大学,4264,2019-01-20
ObjectId("5dfdaf7cd51a5c8eb6103517"),南昌大学,4860,2019-01-21
ObjectId("5dfdaf7cd51a5c8eb6103518"),南昌大学,4586,2019-01-22
ObjectId("5dfdaf7cd51a5c8eb6103519"),南昌大学,4999,2019-01-23
ObjectId("5dfdaf7cd51a5c8eb610351a"),南昌大学,4742,2019-01-24
ObjectId("5dfdaf7cd51a5c8eb610351b"),南昌大学,4597,2019-01-25
ObjectId("5dfdaf7cd51a5c8eb610351c"),南昌大学,4559,2019-01-26
ObjectId("5dfdaf7cd51a5c8eb610351d"),南昌大学,4185,2019-01-27
ObjectId("5dfdaf7cd51a5c8eb610351e"),南昌大学,4044,2019-01-28
ObjectId("5dfdaf7cd51a5c8eb610351f"),南昌大学,4063,2019-01-29
ObjectId("5dfdaf7cd51a5c8eb6103520"),南昌大学,3937,2019-01-30
ObjectId("5dfdaf7cd51a5c8eb6103521"),南昌大学,4123,2019-01-31
ObjectId("5dfdaf7cd51a5c8eb6103522"),南昌大学,3920,2019-02-01
ObjectId("5dfdaf7cd51a5c8eb6103523"),南昌大学,3499,2019-02-02
ObjectId("5dfdaf7cd51a5c8eb6103524"),南昌大学,3271,2019-02-03
ObjectId("5dfdaf7cd51a5c8eb6103525"),南昌大学,2185,2019-02-04
ObjectId("5dfdaf7cd51a5c8eb6103526"),南昌大学,2240,2019-02-05
ObjectId("5dfdaf7cd51a5c8eb6103527"),南昌大学,3363,2019-02-06
ObjectId("5dfdaf7cd51a5c8eb6103528"),南昌大学,3828,2019-02-07
ObjectId("5dfdaf7cd51a5c8eb6103529"),南昌大学,4186,2019-02-08
ObjectId("5dfdaf7cd51a5c8eb610352a"),南昌大学,4343,2019-02-09
ObjectId("5dfdaf7cd51a5c8eb610352b"),南昌大学,4513,2019-02-10
ObjectId("5dfdaf7cd51a5c8eb610352c"),南昌大学,4889,2019-02-11
ObjectId("5dfdaf7cd51a5c8eb610352d"),南昌大学,4818,2019-02-12
ObjectId("5dfdaf7cd51a5c8eb610352e"),南昌大学,4743,2019-02-13
ObjectId("5dfdaf7cd51a5c8eb610352f"),南昌大学,5529,2019-02-14
ObjectId("5dfdaf7cd51a5c8eb6103530"),南昌大学,9718,2019-02-15
ObjectId("5dfdaf7cd51a5c8eb6103531"),南昌大学,8060,2019-02-16
ObjectId("5dfdaf7cd51a5c8eb6103532"),南昌大学,7127,2019-02-17
ObjectId("5dfdaf7cd51a5c8eb6103533"),南昌大学,7803,2019-02-18
ObjectId("5dfdaf7cd51a5c8eb6103534"),南昌大学,7041,2019-02-19
ObjectId("5dfdaf7cd51a5c8eb6103535"),南昌大学,6808,2019-02-20
ObjectId("5dfdaf7cd51a5c8eb6103536"),南昌大学,7433,2019-02-21
ObjectId("5dfdaf7cd51a5c8eb6103537"),南昌大学,6834,2019-02-22
ObjectId("5dfdaf7cd51a5c8eb6103538"),南昌大学,7560,2019-02-23
ObjectId("5dfdaf7cd51a5c8eb6103539"),南昌大学,6678,2019-02-24
