_id,keyword,date,prov,prov_index
ObjectId("5dfdfe75fea717a2d0d05cc9"),iphone,2019-01-01|2019-01-31,931,3
ObjectId("5dfdfe75fea717a2d0d05cca"),iphone,2019-02-01|2019-02-28,934,3
ObjectId("5dfdfe75fea717a2d0d05ccb"),iphone,2019-03-01|2019-03-31,931,2
ObjectId("5dfdfe76fea717a2d0d05ccc"),iphone,2019-04-01|2019-04-30,931,3
ObjectId("5dfdfe77fea717a2d0d05ccd"),iphone,2019-05-01|2019-05-31,931,3
ObjectId("5dfdfe77fea717a2d0d05cce"),iphone,2019-06-01|2019-06-30,931,3
ObjectId("5dfdfe77fea717a2d0d05ccf"),iphone,2019-07-01|2019-07-31,934,3
ObjectId("5dfdfe78fea717a2d0d05cd0"),iphone,2019-08-01|2019-08-31,931,3
ObjectId("5dfdfe78fea717a2d0d05cd1"),iphone,2019-09-01|2019-09-30,931,3
ObjectId("5dfdfe79fea717a2d0d05cd2"),iphone,2019-10-01|2019-10-31,931,3
ObjectId("5dfdfe79fea717a2d0d05cd3"),iphone,2019-11-01|2019-11-30,931,3
ObjectId("5dfdfe79fea717a2d0d05cd4"),华为,2019-01-01|2019-01-31,931,2
ObjectId("5dfdfe7afea717a2d0d05cd5"),华为,2019-02-01|2019-02-28,931,2
ObjectId("5dfdfe7afea717a2d0d05cd6"),华为,2019-03-01|2019-03-31,931,2
ObjectId("5dfdfe7bfea717a2d0d05cd7"),华为,2019-04-01|2019-04-30,931,1
ObjectId("5dfdfe7bfea717a2d0d05cd8"),华为,2019-05-01|2019-05-31,934,2
ObjectId("5dfdfe7cfea717a2d0d05cd9"),华为,2019-06-01|2019-06-30,934,2
ObjectId("5dfdfe7cfea717a2d0d05cda"),华为,2019-07-01|2019-07-31,931,1
ObjectId("5dfdfe7dfea717a2d0d05cdb"),华为,2019-08-01|2019-08-31,934,1
ObjectId("5dfdfe7dfea717a2d0d05cdc"),华为,2019-09-01|2019-09-30,931,1
ObjectId("5dfdfe7dfea717a2d0d05cdd"),华为,2019-10-01|2019-10-31,931,1
ObjectId("5dfdfe7efea717a2d0d05cde"),华为,2019-11-01|2019-11-30,934,2
ObjectId("5dfdfe81fea717a2d0d05cdf"),小米手机,2019-01-01|2019-01-31,934,2
ObjectId("5dfdfe81fea717a2d0d05ce0"),小米手机,2019-02-01|2019-02-28,934,1
