_id,keyword,related_word,count
ObjectId("5dfe043bbb4c32b3e94d52b9"),iphone,11,3=24835&4=98&2=398&0=229
ObjectId("5dfe043bbb4c32b3e94d52ba"),iphone,iphone 8 plus,3=1110&4=106&0=212&1=199&2=242
ObjectId("5dfe043bbb4c32b3e94d52bb"),iphone,微信,3=1254914&4=97&0=191&1=245&2=189
ObjectId("5dfe043bbb4c32b3e94d52bc"),iphone,bilibili,3=731010&4=98&1=232&0=235&2=291
ObjectId("5dfe043bbb4c32b3e94d52bd"),iphone,iphonex,3=7220&4=100&1=1039&0=1436&2=1944
ObjectId("5dfe043bbb4c32b3e94d52be"),iphone,163,3=940185&4=96&2=263&1=480&0=321
ObjectId("5dfe043bbb4c32b3e94d52bf"),iphone,iphonexr,3=5180&4=97&2=597&0=489&1=421
ObjectId("5dfe043bbb4c32b3e94d52c0"),iphone,4399小游戏,3=581220&4=113&0=197&1=235&2=211
ObjectId("5dfe043bbb4c32b3e94d52c1"),iphone,iphone新品,3=1345&4=259&2=471&0=320&1=174
ObjectId("5dfe043bbb4c32b3e94d52c2"),iphone,手机,3=57070&4=102&1=165
ObjectId("5dfe043bbb4c32b3e94d52c3"),iphone,实用,3=122&4=87&0=161&2=215
ObjectId("5dfe043bbb4c32b3e94d52c4"),iphone,网页,3=8164&4=98&2=184&1=261&0=195
ObjectId("5dfe043bbb4c32b3e94d52c5"),iphone,iphone 5s,3=533&4=88&0=120&2=159
ObjectId("5dfe043bbb4c32b3e94d52c6"),iphone,快递,3=61922&4=91&1=165
ObjectId("5dfe043bbb4c32b3e94d52c7"),iphone,汽车,3=42456&4=102&1=145
ObjectId("5dfe043bbb4c32b3e94d52c8"),iphone,iphonese,3=765&4=91&2=226&0=159
ObjectId("5dfe043bbb4c32b3e94d52c9"),iphone,视频,3=21566&4=99&2=199&1=191&0=170
ObjectId("5dfe043bbb4c32b3e94d52ca"),iphone,iphone xr,3=7849&4=95&1=740&0=757&2=847
ObjectId("5dfe043bbb4c32b3e94d52cb"),iphone,iphonex和xr,3=711&4=98&2=142
ObjectId("5dfe043bbb4c32b3e94d52cc"),iphone,美国,3=20947&4=89&1=141
ObjectId("5dfe043bbb4c32b3e94d52cd"),iphone,爱奇,3=2158&4=101&1=277&0=230&2=246
ObjectId("5dfe043bbb4c32b3e94d52ce"),iphone,iphone7,3=3272&4=98&1=401&0=397&2=433
ObjectId("5dfe043bbb4c32b3e94d52cf"),iphone,京东,3=1294229&4=99&0=414&2=455&1=465
ObjectId("5dfe043bbb4c32b3e94d52d0"),iphone,官网,3=5336&4=85&2=664&1=297&0=442
ObjectId("5dfe043bbb4c32b3e94d52d1"),iphone,iphone xs max尺寸,3=492&4=91&0=139&2=201
ObjectId("5dfe043bbb4c32b3e94d52d2"),iphone,4399,3=829668&4=96&2=595&0=572&1=749
ObjectId("5dfe043bbb4c32b3e94d52d3"),iphone,翻译,3=1780222&4=98&1=484&0=397&2=434
ObjectId("5dfe043bbb4c32b3e94d52d4"),iphone,iphone 4,3=435&4=85&1=175&2=231&0=196
ObjectId("5dfe043bbb4c32b3e94d52d5"),iphone,知乎,3=1136186&4=96&1=139
ObjectId("5dfe043bbb4c32b3e94d52d6"),iphone,银行,3=6336&4=89&0=136&1=218
ObjectId("5dfe043bbb4c32b3e94d52d7"),iphone,新机,3=154&4=108&2=202&1=462&0=305
ObjectId("5dfe043bbb4c32b3e94d52d8"),iphone,se,3=4937&4=88&2=313&1=239&0=260
ObjectId("5dfe043bbb4c32b3e94d52d9"),iphone,exs,3=178&4=123&0=297&2=439&1=162
ObjectId("5dfe043bbb4c32b3e94d52da"),iphone,iphone x,3=7434&4=92&1=1213&0=1247&2=1410
ObjectId("5dfe043bbb4c32b3e94d52db"),iphone,58,3=98814&4=99&0=132&1=185
ObjectId("5dfe043bbb4c32b3e94d52dc"),iphone,iphone 新机,3=2864&4=98&1=503&0=289
