_id,keyword,prov,date,city,city_index
ObjectId("5dfde28a2cd928c393a7956a"),手机,901,2019-01-01|2019-01-31,1,1000
ObjectId("5dfde28a2cd928c393a7956b"),手机,901,2019-01-01|2019-01-31,77,954
ObjectId("5dfde28a2cd928c393a7956c"),手机,901,2019-01-01|2019-01-31,79,519
ObjectId("5dfde28a2cd928c393a7956d"),手机,901,2019-01-01|2019-01-31,80,363
ObjectId("5dfde28a2cd928c393a7956e"),手机,901,2019-01-01|2019-01-31,352,231
ObjectId("5dfde28a2cd928c393a7956f"),手机,901,2019-01-01|2019-01-31,84,200
ObjectId("5dfde28a2cd928c393a79570"),手机,901,2019-01-01|2019-01-31,78,198
ObjectId("5dfde28a2cd928c393a79571"),手机,901,2019-01-01|2019-01-31,353,188
ObjectId("5dfde28a2cd928c393a79572"),手机,901,2019-01-01|2019-01-31,83,175
ObjectId("5dfde28a2cd928c393a79573"),手机,901,2019-01-01|2019-01-31,76,171
ObjectId("5dfde28a2cd928c393a79574"),手机,901,2019-01-01|2019-01-31,85,159
ObjectId("5dfde28a2cd928c393a79575"),手机,901,2019-01-01|2019-01-31,81,158
ObjectId("5dfde28a2cd928c393a79576"),手机,901,2019-01-01|2019-01-31,86,152
ObjectId("5dfde28a2cd928c393a79577"),手机,901,2019-01-01|2019-01-31,88,106
ObjectId("5dfde28a2cd928c393a79578"),手机,901,2019-01-01|2019-01-31,366,103
ObjectId("5dfde28a2cd928c393a79579"),手机,901,2019-02-01|2019-02-28,1,1000
ObjectId("5dfde28a2cd928c393a7957a"),手机,901,2019-02-01|2019-02-28,77,931
ObjectId("5dfde28a2cd928c393a7957b"),手机,901,2019-02-01|2019-02-28,79,585
ObjectId("5dfde28a2cd928c393a7957c"),手机,901,2019-02-01|2019-02-28,80,408
ObjectId("5dfde28a2cd928c393a7957d"),手机,901,2019-02-01|2019-02-28,352,257
ObjectId("5dfde28a2cd928c393a7957e"),手机,901,2019-02-01|2019-02-28,353,241
ObjectId("5dfde28a2cd928c393a7957f"),手机,901,2019-02-01|2019-02-28,84,238
ObjectId("5dfde28a2cd928c393a79580"),手机,901,2019-02-01|2019-02-28,78,224
ObjectId("5dfde28a2cd928c393a79581"),手机,901,2019-02-01|2019-02-28,76,207
ObjectId("5dfde28a2cd928c393a79582"),手机,901,2019-02-01|2019-02-28,83,207
ObjectId("5dfde28a2cd928c393a79583"),手机,901,2019-02-01|2019-02-28,85,174
ObjectId("5dfde28a2cd928c393a79584"),手机,901,2019-02-01|2019-02-28,81,158
ObjectId("5dfde28a2cd928c393a79585"),手机,901,2019-02-01|2019-02-28,86,156
ObjectId("5dfde28a2cd928c393a79586"),手机,901,2019-02-01|2019-02-28,366,116
ObjectId("5dfde28a2cd928c393a79587"),手机,901,2019-02-01|2019-02-28,88,111
ObjectId("5dfde28b2cd928c393a79588"),手机,901,2019-03-01|2019-03-31,77,1000
ObjectId("5dfde28b2cd928c393a79589"),手机,901,2019-03-01|2019-03-31,1,968
ObjectId("5dfde28b2cd928c393a7958a"),手机,901,2019-03-01|2019-03-31,79,507
ObjectId("5dfde28b2cd928c393a7958b"),手机,901,2019-03-01|2019-03-31,80,356
ObjectId("5dfde28b2cd928c393a7958c"),手机,901,2019-03-01|2019-03-31,78,207
ObjectId("5dfde28b2cd928c393a7958d"),手机,901,2019-03-01|2019-03-31,352,203
ObjectId("5dfde28b2cd928c393a7958e"),手机,901,2019-03-01|2019-03-31,76,198
ObjectId("5dfde28b2cd928c393a7958f"),手机,901,2019-03-01|2019-03-31,353,180
ObjectId("5dfde28b2cd928c393a79590"),手机,901,2019-03-01|2019-03-31,84,152
ObjectId("5dfde28b2cd928c393a79591"),手机,901,2019-03-01|2019-03-31,83,146
ObjectId("5dfde28b2cd928c393a79592"),手机,901,2019-03-01|2019-03-31,85,141
ObjectId("5dfde28b2cd928c393a79593"),手机,901,2019-03-01|2019-03-31,81,141
ObjectId("5dfde28b2cd928c393a79594"),手机,901,2019-03-01|2019-03-31,86,120
ObjectId("5dfde28b2cd928c393a79595"),手机,901,2019-03-01|2019-03-31,366,104
ObjectId("5dfde28b2cd928c393a79596"),手机,901,2019-03-01|2019-03-31,88,102
ObjectId("5dfde28b2cd928c393a79597"),手机,901,2019-04-01|2019-04-30,77,1000
ObjectId("5dfde28b2cd928c393a79598"),手机,901,2019-04-01|2019-04-30,1,933
ObjectId("5dfde28b2cd928c393a79599"),手机,901,2019-04-01|2019-04-30,79,484
ObjectId("5dfde28b2cd928c393a7959a"),手机,901,2019-04-01|2019-04-30,80,309
ObjectId("5dfde28b2cd928c393a7959b"),手机,901,2019-04-01|2019-04-30,352,189
ObjectId("5dfde28b2cd928c393a7959c"),手机,901,2019-04-01|2019-04-30,78,188
ObjectId("5dfde28b2cd928c393a7959d"),手机,901,2019-04-01|2019-04-30,76,171
ObjectId("5dfde28b2cd928c393a7959e"),手机,901,2019-04-01|2019-04-30,353,155
ObjectId("5dfde28b2cd928c393a7959f"),手机,901,2019-04-01|2019-04-30,83,148
ObjectId("5dfde28b2cd928c393a795a0"),手机,901,2019-04-01|2019-04-30,84,143
ObjectId("5dfde28b2cd928c393a795a1"),手机,901,2019-04-01|2019-04-30,81,127
ObjectId("5dfde28b2cd928c393a795a2"),手机,901,2019-04-01|2019-04-30,86,117
ObjectId("5dfde28b2cd928c393a795a3"),手机,901,2019-04-01|2019-04-30,85,110
ObjectId("5dfde28b2cd928c393a795a4"),手机,901,2019-04-01|2019-04-30,88,97
ObjectId("5dfde28b2cd928c393a795a5"),手机,901,2019-04-01|2019-04-30,366,85
ObjectId("5dfde28c2cd928c393a795a6"),手机,901,2019-05-01|2019-05-31,77,1000
ObjectId("5dfde28c2cd928c393a795a7"),手机,901,2019-05-01|2019-05-31,1,945
ObjectId("5dfde28c2cd928c393a795a8"),手机,901,2019-05-01|2019-05-31,79,506
ObjectId("5dfde28c2cd928c393a795a9"),手机,901,2019-05-01|2019-05-31,80,314
ObjectId("5dfde28c2cd928c393a795aa"),手机,901,2019-05-01|2019-05-31,352,218
ObjectId("5dfde28c2cd928c393a795ab"),手机,901,2019-05-01|2019-05-31,78,176
ObjectId("5dfde28c2cd928c393a795ac"),手机,901,2019-05-01|2019-05-31,76,169
ObjectId("5dfde28c2cd928c393a795ad"),手机,901,2019-05-01|2019-05-31,83,155
